TIME;OV1(T)
34.6875;146.105
34.8;146.16
34.9025;146.209
35.0075;146.259
35.1175;146.311
35.2375;146.367
35.35;146.419
35.4525;146.465
35.5575;146.513
35.6675;146.562
35.7875;146.615
35.9;146.664
36.0025;146.708
36.1075;146.753
36.2175;146.799
36.3375;146.849
36.45;146.896
36.5525;146.938
36.6575;146.98
36.7675;147.024
36.8875;147.071
37;147.115
37.1025;147.155
37.2075;147.195
37.3175;147.237
37.4375;147.282
37.55;147.323
37.6525;147.361
37.7575;147.399
37.8675;147.438
37.9875;147.481
38.1;147.52
38.2025;147.555
38.3075;147.591
38.4175;147.629
38.5375;147.669
38.65;147.706
38.7525;147.74
38.8575;147.774
38.9675;147.809
39.0875;147.847
39.2;147.882
39.3025;147.914
39.4075;147.946
39.5175;147.98
39.6375;148.016
39.75;148.049
39.8525;148.079
39.9575;148.11
40.0675;148.141
40.1875;148.175
40.3;148.207
40.4025;148.235
40.5075;148.264
40.6175;148.294
40.7375;148.326
40.85;148.356
40.9525;148.383
41.0575;148.411
41.1675;148.439
41.2875;148.469
41.4;148.498
41.5025;148.523
41.6075;148.549
41.7175;148.576
41.8375;148.605
41.95;148.632
42.0525;148.656
42.1575;148.68
42.2675;148.706
42.3875;148.733
42.5;148.758
42.6025;148.781
42.7075;148.804
42.8175;148.828
42.9375;148.854
43.05;148.878
43.1525;148.9
43.2575;148.922
43.3675;148.944
43.4875;148.969
43.6;148.992
43.7025;149.012
43.8075;149.033
43.9175;149.054
44.0375;149.078
44.15;149.099
44.2525;149.118
44.3575;149.138
44.4675;149.158
44.5875;149.18
44.7;149.201
44.8025;149.219
44.9075;149.238
45.0175;149.257
45.1375;149.278
45.25;149.297
45.3525;149.314
45.4575;149.332
45.5675;149.35
45.6875;149.37
45.8;149.388
45.9025;149.404
46.0075;149.421
46.1175;149.438
46.2375;149.457
46.35;149.474
46.4525;149.49
46.5575;149.505
46.6675;149.522
46.7875;149.539
46.9;149.556
47.0025;149.57
47.1075;149.585
47.2175;149.601
47.3375;149.618
47.45;149.633
47.5525;149.647
47.6575;149.661
47.7675;149.676
47.8875;149.691
48;149.706
48.1025;149.719
48.2075;149.733
48.3175;149.746
48.4375;149.761
48.55;149.775
48.6525;149.788
48.7575;149.8
48.8675;149.813
48.9875;149.828
49.1;149.841
49.2025;149.853
49.3075;149.864
49.4175;149.877
49.5375;149.89
49.65;149.903
49.7525;149.914
49.8575;149.925
49.9675;149.937
50.0875;149.95
50.2;149.961
50.3025;149.972
50.4075;149.983
50.5175;149.994
50.6375;150.006
50.75;150.017
50.8525;150.027
50.9575;150.037
51.0675;150.048
51.1875;150.059
51.3;150.069
51.4025;150.079
51.5075;150.088
51.6175;150.098
51.7375;150.109
51.85;150.119
51.9525;150.128
52.0575;150.137
52.1675;150.147
52.2875;150.157
52.4;150.166
52.5025;150.175
52.6075;150.183
52.7175;150.192
52.8375;150.202
52.95;150.211
53.0525;150.219
53.1575;150.227
53.2675;150.235
53.3875;150.244
53.5;150.253
53.6025;150.261
53.7075;150.268
53.8175;150.276
53.9375;150.285
54.05;150.293
54.1525;150.3
54.2575;150.307
54.3675;150.315
54.4875;150.323
54.6;150.331
54.7025;150.337
54.8075;150.344
54.9175;150.351
55.0375;150.359
55.15;150.366
55.2525;150.373
55.3575;150.379
55.4675;150.386
55.5875;150.393
55.7;150.4
55.8025;150.406
55.9075;150.412
56.0175;150.419
56.1375;150.426
56.25;150.432
56.3525;150.438
56.4575;150.444
56.5675;150.45
56.6875;150.456
56.8;150.463
56.9025;150.468
57.0075;150.474
57.1175;150.479
57.2375;150.486
57.35;150.491
57.4525;150.496
57.5575;150.502
57.6675;150.507
57.7875;150.513
57.9;150.518
58.0025;150.523
58.1075;150.528
58.2175;150.533
58.3375;150.539
58.45;150.544
58.5525;150.549
58.6575;150.553
58.7675;150.558
58.8875;150.564
59;150.568
59.1025;150.573
59.2075;150.577
59.3175;150.582
59.4375;150.587
59.55;150.591
59.6525;150.596
59.7575;150.6
59.8675;150.604
59.9875;150.609
60.1;150.613
60.2025;150.617
60.3075;150.621
60.4175;150.625
60.5375;150.63
60.65;150.634
60.7525;150.638
60.8575;150.641
60.9675;150.645
61.0875;150.65
61.2;150.653
61.3025;150.657
61.4075;150.661
61.5175;150.664
61.6375;150.668
61.75;150.672
61.8525;150.675
61.9575;150.679
62.0675;150.682
62.1875;150.686
62.3;150.689
62.4025;150.693
62.5075;150.696
62.6175;150.699
62.7375;150.703
62.85;150.706
62.9525;150.709
63.0575;150.712
63.1675;150.715
63.2875;150.718
63.4;150.722
63.5025;150.724
63.6075;150.727
63.7175;150.73
63.8375;150.733
63.95;150.736
64.0525;150.739
64.1575;150.742
64.2675;150.745
64.3875;150.748
64.5;150.75
64.6025;150.753
64.7075;150.756
64.8175;150.758
64.9375;150.761
65.05;150.764
65.1525;150.766
65.2575;150.769
65.3675;150.771
65.4875;150.774
65.6;150.776
65.7025;150.779
65.8075;150.781
65.9175;150.783
66.0375;150.786
66.15;150.788
66.2525;150.79
66.3575;150.793
66.4675;150.795
66.5875;150.797
66.7;150.8
66.8025;150.802
66.9075;150.804
67.0175;150.806
67.1375;150.808
67.25;150.81
67.3525;150.812
67.4575;150.814
67.5675;150.816
67.6875;150.818
67.8;150.82
67.9025;150.822
68.0075;150.824
68.1175;150.826
68.2375;150.828
68.35;150.83
68.4525;150.832
68.5575;150.833
68.6675;150.835
68.7875;150.837
68.9;150.839
69.0025;150.84
69.1075;150.842
69.2175;150.844
69.3375;150.846
69.45;150.847
69.5525;150.849
69.6575;150.851
69.7675;150.852
69.8875;150.854
70;150.856
70.1025;150.857
70.2075;150.858
70.3175;150.86
70.4375;150.862
70.55;150.863
70.6525;150.865
70.7575;150.866
70.8675;150.867
70.9875;150.869
71.1;150.87
71.2025;150.872
71.3075;150.873
71.4175;150.874
71.5375;150.876
71.65;150.877
71.7525;150.879
71.8575;150.88
71.9675;150.881
72.0875;150.882
72.2;150.884
72.3025;150.885
72.4075;150.886
72.5175;150.887
72.6375;150.889
72.75;150.89
72.8525;150.891
72.9575;150.892
73.0675;150.893
73.1875;150.895
73.3;150.896
73.4025;150.897
73.5075;150.898
73.6175;150.899
73.7375;150.9
73.85;150.901
73.9525;150.902
74.0575;150.903
74.1675;150.904
74.2875;150.905
74.4;150.906
74.5025;150.907
74.6075;150.908
74.7175;150.909
74.8375;150.91
74.95;150.911
75.0525;150.912
75.1575;150.913
75.2675;150.914
75.3875;150.915
75.5;150.916
75.6025;150.917
75.7075;150.918
75.8175;150.919
75.9375;150.92
76.05;150.921
76.1525;150.921
76.2575;150.922
76.3675;150.923
76.4875;150.924
76.6;150.925
76.7025;150.925
76.8075;150.926
76.9175;150.927
77.0375;150.928
77.15;150.929
77.2525;150.929
77.3575;150.93
77.4675;150.931
77.5875;150.932
77.7;150.932
77.8025;150.933
77.9075;150.934
78.0175;150.934
78.1375;150.935
78.25;150.936
78.3525;150.937
78.4575;150.937
78.5675;150.938
78.6875;150.939
78.8;150.939
78.9025;150.94
79.0075;150.941
79.1175;150.941
79.2375;150.942
79.35;150.943
79.4525;150.943
79.5575;150.944
79.6675;150.944
